atom,0,1,2,3
C1,-19.880745816373604,-19.785517792713847,-19.807296688734912,-19.59049827147254
C10,-19.488794766923473,-19.479478828577683,-19.254963265571117,-19.316389958403228
C11,-19.51552833324799,-19.41523261793092,-19.542251077065973,-19.51626462140147
C12,-19.56481031895114,-19.339004684132806,-19.59267111833571,-19.39740569196242
C13,-19.258262073746288,-19.20823534065076,-19.153469962554695,-19.22762633190815
C14,-19.433817504715886,-19.2189877327956,-19.29571240700304,-19.264924778346348
C15,-19.618280669511332,-19.34217769782604,-19.378736445528666,-19.46467718818943
C2,-19.858908851931073,-19.859505714803742,-19.828071131526176,-19.850041519470235
C3,-20.163621994367052,-20.05111962410428,-19.9476944644493,-19.784818064727332
C4,-20.3340628632914,-20.199213757485392,-20.0515046041033,-19.913398186491055
C5,-19.874457642778104,-19.735167842237814,-19.628297232554026,-19.630296808754895
C6,-20.084291437398818,-19.627806797834406,-19.803857999550956,-19.621815226717864
C7,-19.70296319291506,-19.56688898865312,-19.74667480057327,-19.611097790972934
C8,-19.91374150849074,-19.932659280778108,-19.82861219972857,-19.673929315275274
C9,-19.402237178063178,-19.301465818164417,-19.428003209422936,-19.38642172292566
N1,-20.5008936767449,-20.2587634097008,-20.32844263207125,-20.1611479204445
O1,-19.198593408626962,-18.943439715090335,-18.910281784391756,-18.994243439388182
O2,-18.95834518057475,-18.913642860077474,-18.905164620448463,-18.82579230600097
O3,-18.633469338144536,-18.549853359088164,-18.458419486188422,-18.69741809777488
